,alternate_titles,artwork_208x117,artwork_304x171,artwork_448x252,artwork_608x342,container_show,first_aired,freebase,id,imdb_id,themoviedb,title,tvdb,tvrage,wikipedia_id
13,[],http://static-api.guidebox.com/091716/thumbnails_small/36036-8570745205-208x117.jpg,http://static-api.guidebox.com/091716/thumbnails_medium/36036-8713408685-304x171.jpg,http://static-api.guidebox.com/091716/thumbnails_large/36036-7201104383-448x252.jpg,http://static-api.guidebox.com/091716/thumbnails_xlarge/36036-6623414638-608x342.jpg,0,2015-05-08,/m/010r6_72,36036,tt3609352,62320,Grace and Frankie,282562,"{u'link': u'http://www.tvrage.com/shows/id-41466', u'tvrage_id': 41466}",43696046.0
14,[],http://static-api.guidebox.com/091414/thumbnails_small/2098-4213483650-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_medium/2098-6882581105-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_large/2098-7307781619-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_xlarge/2098-677562375-608x342-show-thumbnail.jpg,0,2003-11-02,/m/02hct1,2098,tt0367279,4589,Arrested Development,72173,"{u'link': u'http://www.tvrage.com/shows/id-2649', u'tvrage_id': 2649}",496020.0
15,[u'Sense 8'],http://static-api.guidebox.com/111615/thumbnails_small/29454-894856709-208x117.jpg,http://static-api.guidebox.com/111615/thumbnails_medium/29454-1770963208-304x171.jpg,http://static-api.guidebox.com/111615/thumbnails_large/29454-2588492548-448x252.jpg,http://static-api.guidebox.com/111615/thumbnails_xlarge/29454-2181403884-608x342.jpg,0,2015-05-28,,29454,tt2431438,61664,Sense8,268156,"{u'link': u'http://www.tvrage.com/shows/id-35197', u'tvrage_id': 35197}",39595312.0
16,[u'The Ranch (2016)'],http://static-api.guidebox.com/100117/thumbnails_small/36652-5897411476-208x117.jpg,http://static-api.guidebox.com/100117/thumbnails_medium/36652-8944034502-304x171.jpg,http://static-api.guidebox.com/100117/thumbnails_large/36652-7375258868-448x252.jpg,http://static-api.guidebox.com/100117/thumbnails_xlarge/36652-9294832991-608x342.jpg,0,2016-04-01,,36652,tt4998212,65493,The Ranch,305165,"{u'link': u'http://www.tvrage.com/shows/id-49605', u'tvrage_id': 49605}",47048173.0
17,[u'Iron Fist'],http://static-api.guidebox.com/091716/thumbnails_small/39369-639808323-208x117.jpg,http://static-api.guidebox.com/091716/thumbnails_medium/39369-7311891913-304x171.jpg,http://static-api.guidebox.com/091716/thumbnails_large/39369-156937787-448x252.jpg,http://static-api.guidebox.com/091716/thumbnails_xlarge/39369-5940489597-608x342.jpg,0,2017-03-17,,39369,tt3322310,62127,Marvel's Iron Fist,317953,"{u'link': None, u'tvrage_id': None}",45079755.0
18,[],http://static-api.guidebox.com/120214/thumbnails_small/20287-3704652521-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/120214/thumbnails_medium/20287-3124470390-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/120214/thumbnails_large/20287-1938348431-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/120214/thumbnails_xlarge/20287-2765393760-608x342-show-thumbnail.jpg,0,2014-08-22,/m/010qb1j9,20287,tt3398228,61222,BoJack Horseman,282254,"{u'link': u'http://www.tvrage.com/shows/id-39470', u'tvrage_id': 39470}",43617969.0
19,[],http://static-api.guidebox.com/111615/thumbnails_small/27673-7780577703-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/111615/thumbnails_medium/27673-9772591688-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/111615/thumbnails_large/27673-5911565176-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/111615/thumbnails_xlarge/27673-1028537187-608x342-show-thumbnail.jpg,0,2015-02-17,/m/0_xc092,27673,tt3339966,61671,Unbreakable Kimmy Schmidt,281593,"{u'link': u'http://www.tvrage.com/shows/id-39221', u'tvrage_id': 39221}",42093526.0
20,[u'GLOW'],http://static-api.guidebox.com/091716/thumbnails_small/43497-6435494497-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/091716/thumbnails_medium/43497-2635774995-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/091716/thumbnails_large/43497-2183783558-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/091716/thumbnails_xlarge/43497-5210978519-608x342-show-thumbnail.jpg,0,2017-06-23,,43497,tt5770786,70573,G.L.O.W.,324835,"{u'link': None, u'tvrage_id': None}",50687753.0
21,[],http://static-api.guidebox.com/111615/thumbnails_small/36023-5952654588-208x117.jpg,http://static-api.guidebox.com/111615/thumbnails_medium/36023-2153968187-304x171.jpg,http://static-api.guidebox.com/111615/thumbnails_large/36023-7922684769-448x252.jpg,http://static-api.guidebox.com/111615/thumbnails_xlarge/36023-3201464215-608x342.jpg,0,2015-03-20,/m/012t6mj3,36023,tt3520702,61986,Bloodline,287314,"{u'link': u'http://www.tvrage.com/shows/id-45824', u'tvrage_id': 45824}",44193962.0
22,[u'One Day at a Time'],http://static-api.guidebox.com/091716/thumbnails_small/41838-9634071444-208x117.jpg,http://static-api.guidebox.com/091716/thumbnails_medium/41838-2537183063-304x171.jpg,http://static-api.guidebox.com/091716/thumbnails_large/41838-5539552802-448x252.jpg,http://static-api.guidebox.com/091716/thumbnails_xlarge/41838-8735803226-608x342.jpg,0,2017-01-06,,41838,tt5339440,69017,One Day At A Time (2017),318363,"{u'link': None, u'tvrage_id': None}",51409607.0
