,Streaming_platform,Title,IMDb_id
0,HBO,Game of Thrones,0944947
1,HBO,Westworld,0475784
2,HBO,Silicon Valley,2575988
3,HBO,Barry,5348176
4,HBO,The Sopranos,0141842
5,HBO,True Detective,2356777
6,HBO,The Wire,0306414
7,HBO,True Blood,0844441
8,HBO,Sex and the City,0159206
9,HBO,Ballers,2891574
10,HBO,Boardwalk Empire,0979432
11,HBO,Deadwood,0348914
12,HBO,The Leftovers,2699128
13,HBO,Curb Your Enthusiasm,0264235
14,HBO,Rome,0384766
15,HBO,Entourage,0387199
16,HBO,Girls,1723816
17,HBO,OZ,0118421
18,HBO,Last Week Tonight with John Oliver,3530232
19,HBO,Six Feet Under,0248654
20,HBO,Veep,1759761
21,HBO,The Larry Sanders Show,0103466
22,HBO,Divorce,4304864
23,HBO,High Maintenance (2016),6078096
24,HBO,The Newsroom,1870479
25,HBO,Eastbound & Down,0866442
26,HBO,The Young Pope,3655448
27,HBO,Vice Principals,3766376
28,HBO,Mosaic,5056958
29,HBO,Big Love,0421030
30,HBO,Carnivale,0319969
31,HBO,Flight Of The Conchords,0863046
32,HBO,Hung,1229413
33,HBO,Extras,0445114
34,HBO,Camelot,1672189
35,HBO,Room 104,6064882
36,HBO,Vinyl,3186130
37,HBO,Get Smart,0058805
38,HBO,Treme,1279972
39,HBO,Looking,2581458
40,HBO,Real Time with Bill Maher,0350448
41,HBO,Fraggle Rock,0085017
42,HBO,Bored to Death,1255913
43,HBO,Animals,4953128
44,HBO,The Kids in the Hall,0096626
45,HBO,In Treatment,0835434
46,HBO,Tell Me You Love Me,0809497
47,HBO,Togetherness,3061830
48,HBO,The Comeback,0434672
49,HBO,Summer Heights High,0934320
50,HBO,The Adventures of Tintin,0179552
51,HBO,Mr. Show with Bob and David,0112084
52,HBO,Todd McFarlane's Spawn,0118475
53,HBO,Enlightened,1509004
54,HBO,Hello Ladies,2378794
55,HBO,Life's Too Short,1641247
56,HBO,The Brink,3216586
57,HBO,The Ricky Gervais Show,1553644
58,HBO,Ja'mie: Private School Girl,3173854
59,HBO,Vice (HBO),2782710
60,HBO,How to Make It in America,1299365
61,HBO,Luck,1578887
62,HBO,Intelligence,0845746
63,HBO,Getting On,2342652
64,HBO,Doll & Em,2561882
65,HBO,Jim Henson's the Storyteller,0092383
66,HBO,Happily Ever After: Fairy Tales For Every Child,0111996
67,HBO,Angry Boys,1596589
68,HBO,The No. 1 Ladies' Detective Agency,1356380
69,HBO,Family Tree,2340036
70,HBO,John From Cincinnati,0814164
71,HBO,Lucky Louie,0460619
72,HBO,Da Ali G Show,0241088
73,HBO,Little Britain USA,0936458
74,HBO,The Life & Times of Tim,0950701
75,HBO,Profugos,1941928
76,HBO,Funny or Die Presents,1556078
77,HBO,Project Greenlight,0299368
